yyyy,mm,Decade,Location,Zone,...5,Fish,number,size,largest.jewfish,largest.dhufish.kg,Reference,,,,
1952,NA,NA,"Rottnest Island, Porpoise Bay",4,boat,jewfish,1,NA,,0,19520703WA,,,,
1952,NA,NA,"Rottnest Island, West End area",4,boat,jewfish,1,23lb,23,10.432616,19520501WA,,,,
1952,NA,NA,"Green Island Bay, Rottnest Island",4,set line,jewfish,1,estimated 60 lb,60,27.21552,19520501WA,,,,
1952,NA,NA,Rottnest Island,4,spearfish,jewfish,1,18 lb,18,8.164656,19520416WA,,,,
1952,NA,NA,"Rockingham, Safety Bay outer reefs",10,NA,jewfish,1,25 lb,25,11.3398,19520424WA,,,,
NA,NA,NA,NA,,NA,NA,NA,NA,,0,NA,,,,
1953,NA,NA,Rottnest Island,4,?,jewfish,11,NA,,0,19530826WA,,,,
1953,NA,NA,off Rottnest Island,4,boat,jewfish,13,NA,,0,19530826WA,,,,
1953,NA,NA,Rottnest Island area,4,boat,jewfish,7,one 28 lb and 8 lb,28,12.700576,19530429WA,,,,
1953,NA,NA,"Rottnest Island, West End",4,boat,jewfish,14,2 of 35 lb,35,15.87572,19530826WA,,,,
1953,NA,NA,"Rottnest Island, West End area",4,boat,jewfish,11,on of 28 lb,28,12.700576,19540415WA,,,,
1953,NA,NA,"Rottnest Island, Clune Point",4,NA,jewfish,1,ca. 50 lb,50,22.6796,19530429WA,,,,
1954,NA,NA,"miles off West End, Rottnest Is",4,boat,jewfish,43 in four days,total about 450 lb,,0,19540415WA,,,,
1954,NA,NA,off Scarborough,3,boat,jewfish,3,18 lb,18,8.164656,19540527WA,,,,
1954,NA,NA,Rottnest Island,4,boat,jewfish,1,38 lb,38,17.236496,19540415WA,,,,
1954,NA,NA,Rottnest Island,4,boat,jewfish,2,45 lb & 40 lb,45,20.41164,19540624WA,,,,
1954,NA,NA,Rottnest Island area (8 miles north),4,boat,jewfish,14,"18 lb, 38 lb, 35 lb, 32 lb (part of 245 lb catch in 5 hours)",38,17.236496,19540112WA,,,,
1954,9,NA,"Rottnest Island, West End area",4,boat,jewfish,2,33 lb & 24 lb,33,14.968536,19540923WA,,,,
1954,NA,NA,Rottnest Island,4,shore,jewfish,3,"17 lb, 15 lb & 22 lb",22,9.979024,19540708WA,,,,
1954,NA,NA,Rottnest Island,4,shore?,jewfish,1,32 lb,32,14.514944,19540603WA,,,,
1954,NA,NA,"Rottnest Island, Clune Point",4,spearfish,jewfish,1,32.5lb,32.5,14.74174,19540204WA,,,,
1954,NA,NA,"Marmion, Little Island area",3,NA,jewfish,1,65 lb,65,29.48348,19540624WA,,,,
?,NA,NA,"Rottnest Island, Dyer Island area",4,boat,jewfish,ca 62 caught over 6 weeks. 8 at one time.,"big', ca 20 lb",20,9.07184,19541007WA,,,,
NA,NA,NA,NA,,NA,NA,NA,NA,,0,NA,,,,
NA,NA,NA,NA,,NA,NA,NA,NA,,0,NA,,,,
NA,NA,NA,NA,,NA,NA,NA,NA,,0,NA,,,,
